<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.05.03	2304.30	2320.60	2277.26	2302.31	206817	0	7
2024.05.05	2302.37	2303.26	2293.37	2293.95	5910	0	7
2024.05.06	2293.95	2332.00	2291.87	2326.05	197850	0	7
2024.05.07	2326.06	2329.92	2310.03	2315.18	171196	0	7
2024.05.08	2315.25	2321.46	2303.74	2308.85	177991	0	7
2024.05.09	2308.84	2348.40	2306.74	2346.58	191577	0	7
2024.05.10	2346.59	2378.42	2346.02	2361.54	193630	0	7
2024.05.12	2361.43	2363.04	2359.71	2360.37	3411	0	7
2024.05.13	2360.37	2364.52	2331.93	2338.39	166870	0	7
2024.05.14	2338.38	2359.69	2334.83	2355.84	168558	0	7
2024.05.15	2355.84	2391.91	2351.85	2391.80	198918	0	7
2024.05.16	2391.80	2397.42	2370.98	2377.85	168482	0	7
2024.05.17	2377.85	2422.69	2373.99	2417.71	161432	0	7
2024.05.19	2425.13	2425.28	2416.78	2420.27	7056	0	7
2024.05.20	2420.27	2450.07	2407.41	2426.27	238132	0	7
2024.05.21	2426.18	2433.93	2406.43	2421.87	228659	0	0
2024.05.22	2421.87	2426.51	2374.99	2382.25	244339	0	0
2024.05.23	2382.25	2383.67	2327.13	2332.03	272867	0	0
2024.05.24	2331.92	2347.46	2325.48	2334.25	177204	0	6
2024.05.26	2335.88	2340.69	2332.29	2337.20	4703	0	7
2024.05.27	2337.16	2358.47	2334.46	2352.44	113964	0	7
2024.05.28	2352.44	2364.15	2340.27	2359.88	213193	0	10
2024.05.29	2359.88	2361.35	2334.58	2338.41	197208	0	10
2024.05.30	2338.41	2351.78	2322.59	2344.07	159391	0	0
2024.05.31	2344.06	2359.72	2320.57	2329.13	224807	0	0
2024.06.02	2328.70	2328.72	2323.31	2325.80	4662	0	0
2024.06.03	2325.81	2354.74	2314.73	2350.52	195735	0	0
2024.06.04	2350.52	2352.72	2315.59	2328.76	213352	0	0
2024.06.05	2328.76	2357.45	2325.85	2355.00	189703	0	0
2024.06.06	2355.00	2378.53	2353.48	2376.82	198584	0	0
2024.06.07	2376.87	2387.69	2286.73	2291.48	249207	0	0
2024.06.09	2290.47	2300.04	2290.20	2298.40	5330	0	0
2024.06.10	2298.40	2313.77	2287.75	2309.87	163640	0	0
2024.06.11	2309.87	2319.98	2297.68	2315.07	199652	0	0
2024.06.12	2315.07	2341.65	2310.67	2320.55	222294	0	0
2024.06.13	2320.55	2326.68	2295.62	2302.29	225081	0	0
2024.06.14	2302.29	2336.64	2301.50	2332.22	220063	0	0
2024.06.16	2331.12	2331.36	2327.41	2328.84	3707	0	0
2024.06.17	2328.84	2328.99	2309.99	2320.69	178254	0	0
2024.06.18	2320.69	2333.11	2306.61	2328.28	177799	0	0
2024.06.19	2328.28	2335.05	2323.72	2329.33	99751	0	0
2024.06.20	2329.35	2365.49	2327.68	2360.80	189329	0	0
2024.06.21	2360.80	2368.74	2316.72	2321.37	208046	0	0
2024.06.23	2321.07	2322.15	2317.65	2319.17	3567	0	0
2024.06.24	2319.16	2334.66	2317.88	2330.84	181250	0	0
2024.06.25	2330.84	2337.14	2315.47	2320.05	135259	0	0
2024.06.26	2320.05	2323.85	2293.62	2298.40	160665	0	0
2024.06.27	2298.40	2331.02	2296.54	2327.76	147352	0	2
2024.06.28	2327.76	2339.78	2319.01	2325.38	149237	0	0
2024.06.30	2322.83	2326.17	2322.70	2324.92	3326	0	2
2024.07.01	2324.91	2338.51	2318.48	2332.25	144451	0	0
2024.07.02	2332.25	2336.77	2319.07	2330.31	149177	0	0
2024.07.03	2330.30	2364.94	2326.86	2358.79	178650	0	3
2024.07.04	2358.82	2362.45	2350.48	2356.74	95169	0	1
2024.07.05	2356.74	2392.89	2349.67	2391.23	191113	0	2
2024.07.07	2389.50	2390.20	2384.84	2386.08	4101	0	10
2024.07.08	2386.08	2391.10	2351.08	2361.78	184062	0	1
2024.07.09	2361.78	2371.56	2349.43	2365.03	178191	0	3
2024.07.10	2364.99	2386.70	2363.28	2372.86	151233	0	0
2024.07.11	2372.86	2424.56	2371.46	2415.97	214917	0	3
2024.07.12	2415.97	2418.29	2391.45	2411.76	183351	0	0
2024.07.14	2411.84	2412.19	2405.66	2408.69	8218	0	8
2024.07.15	2408.70	2439.68	2401.35	2422.55	192874	0	0
2024.07.16	2422.55	2469.96	2420.04	2468.29	229597	0	0
2024.07.17	2468.29	2483.71	2451.50	2461.33	297269	0	4
2024.07.18	2461.38	2474.92	2440.35	2441.28	223588	0	0
2024.07.19	2441.26	2441.34	2393.81	2398.67	255122	0	6
2024.07.21	2403.90	2411.95	2402.53	2411.54	7031	0	9
2024.07.22	2411.55	2412.17	2383.81	2395.73	212910	0	0
2024.07.23	2395.74	2411.99	2388.29	2408.52	194124	0	3
2024.07.24	2408.53	2432.00	2393.04	2398.69	236239	0	4
2024.07.25	2398.70	2400.08	2353.10	2363.83	331736	0	1
2024.07.26	2363.83	2390.80	2355.81	2387.98	223313	0	2
2024.07.28	2388.11	2403.12	2387.69	2397.03	8042	0	3
2024.07.29	2397.06	2402.52	2369.60	2381.12	202866	0	0
2024.07.30	2381.17	2412.73	2376.51	2409.85	215760	0	0
2024.07.31	2409.86	2450.93	2403.56	2445.74	256892	0	0
2024.08.01	2445.74	2462.28	2430.25	2445.78	301880	0	0
2024.08.02	2445.80	2477.66	2410.80	2441.89	324067	0	0
2024.08.04	2440.23	2446.31	2437.56	2440.95	13455	0	10
2024.08.05	2440.96	2458.78	2364.29	2404.82	434876	0	0
2024.08.06	2404.89	2418.34	2381.61	2383.86	322170	0	0
2024.08.07	2383.84	2407.07	2379.03	2384.86	257161	0	0
2024.08.08	2384.85	2427.71	2383.25	2424.63	262879	0	0
2024.08.09	2424.64	2437.02	2416.89	2430.47	193639	0	0
2024.08.11	2428.22	2433.48	2427.34	2427.90	6211	0	0
2024.08.12	2427.89	2476.00	2423.84	2475.59	176806	0	0
2024.08.13	2475.61	2476.91	2458.46	2464.14	214912	0	0
2024.08.14	2464.16	2479.87	2438.10	2449.45	242382	0	0
2024.08.15	2449.49	2470.06	2432.19	2457.34	235050	0	0
2024.08.16	2457.33	2509.73	2450.73	2507.57	232396	0	0
2024.08.18	2506.59	2506.81	2502.07	2506.45	8398	0	9
2024.08.19	2506.45	2507.49	2485.64	2503.65	228484	0	0
2024.08.20	2503.65	2531.64	2497.33	2512.94	225443	0	0
2024.08.21	2512.91	2519.95	2493.40	2512.79	210915	0	0
2024.08.22	2512.70	2514.63	2470.76	2487.56	227086	0	0
2024.08.23	2487.56	2518.34	2486.50	2510.85	223281	0	0
2024.08.25	2511.96	2516.67	2511.00	2515.95	9541	0	8
2024.08.26	2515.95	2526.82	2508.72	2515.52	215841	0	0
2024.08.27	2515.52	2528.99	2503.52	2525.11	211951	0	0
2024.08.28	2525.31	2525.88	2493.65	2508.12	189743	0	0
2024.08.29	2508.13	2528.66	2503.64	2519.60	186455	0	0
2024.08.30	2519.62	2526.83	2494.15	2502.35	195905	0	0
2024.09.01	2502.81	2504.84	2501.95	2503.01	4157	0	0
2024.09.02	2503.01	2507.28	2490.05	2497.21	120261	0	1
2024.09.03	2497.24	2506.27	2473.60	2493.25	218014	0	0
2024.09.04	2493.26	2500.28	2471.87	2495.87	194677	0	0
2024.09.05	2495.90	2523.48	2493.85	2517.27	207592	0	0
2024.09.06	2517.31	2529.17	2485.09	2496.13	254458	0	0
2024.09.08	2496.97	2498.29	2495.53	2496.89	6580	0	5
2024.09.09	2496.89	2507.66	2485.56	2506.76	219303	0	0
2024.09.10	2506.75	2518.79	2500.15	2518.63	202233	0	0
2024.09.11	2518.62	2529.04	2500.67	2511.94	250819	0	0
2024.09.12	2511.92	2560.06	2511.02	2558.49	253364	0	0
2024.09.13	2558.47	2586.05	2556.77	2580.48	237907	0	0
2024.09.15	2578.76	2580.45	2577.57	2579.24	6849	0	3
2024.09.16	2579.16	2589.65	2575.17	2583.73	175513	0	0
2024.09.17	2583.73	2586.92	2560.79	2574.03	216151	0	0
2024.09.18	2574.03	2600.15	2546.81	2559.32	288911	0	0
2024.09.19	2559.32	2594.87	2550.89	2587.26	291663	0	0
2024.09.20	2587.26	2625.77	2584.80	2621.09	252358	0	0
2024.09.22	2621.04	2622.03	2619.62	2620.22	5097	0	9
2024.09.23	2620.21	2634.86	2613.87	2626.36	215545	0	0
2024.09.24	2626.36	2664.34	2622.64	2658.17	288979	0	15
2024.09.25	2658.18	2670.56	2649.87	2656.35	251780	0	15
2024.09.26	2656.35	2685.59	2654.83	2672.66	277741	0	15
2024.09.27	2672.65	2674.29	2643.09	2653.45	287247	0	15
2024.09.29	2661.64	2665.07	2659.86	2663.56	10479	0	15
2024.09.30	2663.58	2665.94	2624.67	2635.70	277223	0	15
2024.10.01	2635.71	2673.15	2633.95	2660.35	233799	0	15
2024.10.02	2660.37	2663.35	2641.12	2660.25	208538	0	15
2024.10.03	2660.26	2662.88	2639.74	2655.80	226777	0	15
2024.10.04	2655.80	2670.20	2631.98	2651.99	227621	0	15
