<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.06.01	00:00:00	16277.6590	16284.8810	16212.6950	16212.6950	14144	0	1620
2024.06.01	04:00:00	16212.6800	16272.7770	16135.7170	16242.1740	14151	0	1610
2024.06.01	08:00:00	16242.1510	16306.3670	16169.4700	16259.3120	14165	0	1610
2024.06.01	12:00:00	16259.3060	16390.1290	16222.7780	16381.9960	14139	0	1620
2024.06.01	16:00:00	16381.9800	16408.7750	16320.6650	16349.1100	14157	0	1630
2024.06.01	20:00:00	16349.1010	16349.1010	16237.5240	16265.0380	14143	0	1620
2024.06.02	00:00:00	16265.0340	16280.5010	16213.5230	16220.5760	14152	0	1620
2024.06.02	04:00:00	16220.5510	16236.3210	16094.8120	16125.1920	14146	0	1600
2024.06.02	08:00:00	16125.1910	16151.6600	16045.4000	16073.5240	14162	0	1600
2024.06.02	12:00:00	16073.5050	16073.5050	15990.3120	16022.0670	14157	0	1590
2024.06.02	16:00:00	16022.0370	16024.1370	15944.3580	15988.5980	14135	0	1590
2024.06.02	20:00:00	15988.5940	16162.9800	15968.0510	16144.2430	14150	0	1590
2024.06.03	00:00:00	16144.2390	16154.2530	16061.7810	16088.9310	14139	0	1600
2024.06.03	04:00:00	16088.8910	16137.3180	16069.6120	16070.2710	14119	0	1600
2024.06.03	08:00:00	16070.2620	16249.2650	16047.9050	16222.5340	14158	0	1600
2024.06.03	12:00:00	16222.5230	16318.7410	16204.0180	16305.7410	14169	0	1620
2024.06.03	16:00:00	16305.7220	16375.2360	16254.1750	16268.9430	14146	0	1620
2024.06.03	20:00:00	16268.9260	16268.9260	16171.3260	16201.3200	14138	0	1610
2024.06.04	00:00:00	16201.2940	16327.8920	16174.7450	16303.2770	14140	0	1610
2024.06.04	04:00:00	16303.2720	16303.2720	16165.9960	16202.0130	14157	0	1610
2024.06.04	08:00:00	16202.0060	16202.0060	16116.8830	16116.8830	14157	0	1610
2024.06.04	12:00:00	16116.8680	16126.7110	16029.3330	16040.7330	14125	0	1600
2024.06.04	16:00:00	16040.7010	16040.7010	15911.5370	15930.1780	14175	0	1590
2024.06.04	20:00:00	15930.1740	15966.9350	15813.6460	15829.5890	14132	0	1580
2024.06.05	00:00:00	15829.5800	15853.9540	15741.2480	15758.0130	14174	0	1570
2024.06.05	04:00:00	15757.9880	15796.1600	15710.1360	15727.0110	14152	0	1570
2024.06.05	08:00:00	15727.0040	15797.0060	15716.6680	15772.1500	14155	0	1570
2024.06.05	12:00:00	15772.1490	15786.6500	15707.3050	15717.4990	14160	0	1570
2024.06.05	16:00:00	15717.4850	15717.4850	15623.0870	15673.8520	14144	0	1560
2024.06.05	20:00:00	15673.8430	15688.3990	15612.2820	15650.5680	14133	0	1560
2024.06.06	00:00:00	15650.5430	15673.4030	15613.1100	15634.7330	13447	0	1560
2024.06.06	04:00:00	15634.7310	15652.2420	15559.9310	15613.1730	14140	0	1550
2024.06.06	08:00:00	15613.1590	15662.5350	15554.2660	15603.2170	14153	0	1550
2024.06.06	12:00:00	15603.1920	15690.6910	15602.9210	15632.8420	14154	0	1560
2024.06.06	16:00:00	15632.8390	15672.7180	15595.3700	15602.8870	14156	0	1550
2024.06.06	20:00:00	15602.8800	15665.8700	15577.0240	15631.6900	14121	0	1550
2024.06.07	00:00:00	15631.6480	15682.5880	15579.5740	15587.4650	14131	0	1550
2024.06.07	04:00:00	15587.4560	15717.6660	15554.6710	15682.9190	14138	0	1550
2024.06.07	08:00:00	15682.9090	15754.7720	15666.5680	15721.0600	14145	0	1560
2024.06.07	12:00:00	15721.0490	15775.4680	15639.8480	15639.8480	14145	0	1560
2024.06.07	16:00:00	15639.8380	15651.4830	15564.2570	15593.5100	14144	0	1550
2024.06.07	20:00:00	15593.4870	15733.0820	15593.0050	15717.0730	14153	0	1550
2024.06.08	00:00:00	15717.0400	15735.4950	15646.9080	15687.9710	14130	0	1560
2024.06.08	04:00:00	15687.9680	15723.0420	15611.3210	15623.0760	14147	0	1560
2024.06.08	08:00:00	15623.0730	15657.9030	15584.2270	15596.1630	14157	0	1550
2024.06.08	12:00:00	15596.1340	15623.2870	15531.5210	15531.5210	14129	0	1550
2024.06.08	16:00:00	15531.5110	15582.4950	15477.0140	15479.0890	14126	0	1540
2024.06.08	20:00:00	15479.0830	15520.0180	15417.1250	15513.6240	14145	0	1540
2024.06.09	00:00:00	15513.6120	15521.1330	15371.3710	15371.3710	14106	0	1530
2024.06.09	04:00:00	15371.3550	15499.5710	15341.9520	15487.6120	14167	0	1530
2024.06.09	08:00:00	15487.5760	15501.9130	15373.0920	15411.7160	14129	0	1530
