<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.03.22	12:00:00	5670.8410	5677.2970	5648.5320	5675.5990	13694	0	560
2024.03.22	16:00:00	5675.6050	5684.1370	5647.8040	5664.4280	13730	0	560
2024.03.22	20:00:00	5664.4350	5674.9530	5624.3980	5626.4840	13683	0	560
2024.03.23	00:00:00	5626.4880	5636.3080	5594.3020	5594.3020	13703	0	550
2024.03.23	04:00:00	5594.3120	5612.1330	5562.8500	5571.0380	13687	0	550
2024.03.23	08:00:00	5571.0420	5593.8220	5571.0420	5591.9060	13636	0	550
2024.03.23	12:00:00	5591.9170	5626.2910	5591.9170	5625.3620	13701	0	550
2024.03.23	16:00:00	5625.3720	5642.2260	5616.5630	5640.4540	13671	0	560
2024.03.23	20:00:00	5640.4620	5663.3190	5630.6120	5656.2840	13743	0	560
2024.03.24	00:00:00	5656.2840	5673.5210	5637.7960	5647.5170	13715	0	560
2024.03.24	04:00:00	5647.5180	5695.8760	5647.5180	5695.8760	13710	0	560
2024.03.24	08:00:00	5695.8800	5720.5160	5695.8800	5713.3180	13718	0	560
2024.03.24	12:00:00	5713.3240	5727.3750	5680.1870	5699.5980	13679	0	560
2024.03.24	16:00:00	5699.6100	5723.7250	5691.4830	5710.1560	13719	0	560
2024.03.24	20:00:00	5710.1600	5729.7050	5708.2860	5714.9710	13641	0	570
2024.03.25	00:00:00	5714.9780	5728.8800	5670.5680	5672.2440	13709	0	560
2024.03.25	04:00:00	5672.2460	5693.6300	5667.2510	5678.6040	13668	0	560
2024.03.25	08:00:00	5678.6050	5688.8380	5653.1100	5657.0950	13673	0	560
2024.03.25	12:00:00	5657.1040	5685.1010	5656.7080	5659.2760	13682	0	560
2024.03.25	16:00:00	5659.2780	5664.1650	5642.5290	5659.6320	13738	0	560
2024.03.25	20:00:00	5659.6380	5661.0450	5597.5490	5606.9600	13662	0	550
2024.03.26	00:00:00	5606.9610	5645.1550	5606.9610	5638.9300	13668	0	560
2024.03.26	04:00:00	5638.9300	5642.8830	5602.5010	5603.7970	13744	0	560
2024.03.26	08:00:00	5603.8090	5625.2260	5602.1080	5619.2640	13698	0	560
2024.03.26	12:00:00	5619.2740	5620.5070	5582.4720	5599.3770	13697	0	550
2024.03.26	16:00:00	5599.3770	5625.5200	5585.8580	5599.1880	13729	0	550
2024.03.26	20:00:00	5599.1880	5627.0950	5594.3430	5619.8800	13673	0	550
