<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.05.16	15803.4810	16185.2320	15776.5090	16127.2630	84922	0	1570
2024.05.17	16127.2580	16221.5710	15917.0430	15997.8410	84883	0	1590
2024.05.18	15997.8310	16250.0730	15977.0340	16007.0610	84902	0	1590
2024.05.19	16007.0590	16232.8950	15977.3160	16060.0190	84671	0	1590
2024.05.20	16059.9900	16343.2470	15995.8420	16333.4700	84909	0	1590
2024.05.21	16333.4670	16349.7630	15855.2220	15859.4190	84902	0	1580
2024.05.22	15859.4190	16085.0320	15760.3090	15917.2380	84858	0	1570
2024.05.23	15917.2330	16240.7550	15866.5690	16234.5220	84890	0	1580
2024.05.24	16234.5130	16271.2270	16003.8400	16123.8830	84922	0	1600
2024.05.25	16123.8470	16123.8470	15882.7870	15934.5050	84824	0	1580
2024.05.26	15934.4810	16114.0220	15896.2460	15924.1300	84883	0	1580
2024.05.27	15924.1280	16447.0900	15912.3260	16447.0310	83874	0	1590
2024.05.28	16447.0270	16701.2240	16363.1420	16692.6060	84912	0	1630
2024.05.29	16692.5990	16768.5660	16538.8950	16569.4560	84938	0	1650
2024.05.30	16569.4450	16630.5240	16377.4740	16377.4740	84950	0	1630
2024.05.31	16377.4430	16452.7970	16242.9230	16277.6840	84873	0	1620
2024.06.01	16277.6590	16408.7750	16135.7170	16265.0380	84899	0	1610
2024.06.02	16265.0340	16280.5010	15944.3580	16144.2430	84902	0	1590
2024.06.03	16144.2390	16375.2360	16047.9050	16201.3200	84869	0	1600
2024.06.04	16201.2940	16327.8920	15813.6460	15829.5890	84886	0	1580
2024.06.05	15829.5800	15853.9540	15612.2820	15650.5680	84918	0	1560
2024.06.06	15650.5430	15690.6910	15554.2660	15631.6900	84171	0	1550
2024.06.07	15631.6480	15775.4680	15554.6710	15717.0730	84856	0	1550
2024.06.08	15717.0400	15735.4950	15417.1250	15513.6240	84834	0	1540
2024.06.09	15513.6120	15568.0850	15341.9520	15548.9130	84851	0	1530
2024.06.10	15548.8780	15696.6030	15481.1530	15514.8160	84836	0	1540
2024.06.11	15514.7850	15671.7540	15459.0140	15518.0180	84804	0	1540
2024.06.12	15517.9990	15708.3200	15388.6580	15420.7440	84897	0	1530
2024.06.13	15420.7060	15711.7390	15398.6570	15527.8280	84818	0	1540
2024.06.14	15527.8040	15811.5060	15462.5860	15739.5130	84909	0	1540
2024.06.15	15739.4960	15902.7660	15553.2900	15881.8200	84859	0	1550
2024.06.16	15881.8170	15900.0560	15614.6250	15625.1420	84692	0	1560
2024.06.17	15625.1340	15661.4880	15462.8070	15462.8070	84863	0	1540
2024.06.18	15462.7850	15580.3680	15416.8030	15458.3560	84879	0	1540
2024.06.19	15458.3350	15482.0880	15275.1920	15291.5400	84887	0	1520
2024.06.20	15291.5290	15499.9640	15287.7630	15366.6430	84836	0	1520
2024.06.21	15366.6430	15607.8930	15345.3800	15520.5840	84937	0	1530
2024.06.22	15520.5710	15573.4970	15347.2760	15387.0470	84877	0	1530
2024.06.23	15387.0270	15628.6590	15335.5410	15422.1810	84804	0	1530
2024.06.24	15422.1530	15456.9100	15212.0440	15268.5890	84883	0	1520
2024.06.25	15268.5670	15308.2430	15054.2240	15101.5270	84763	0	1500
2024.06.26	15101.5160	15390.6320	15029.7250	15328.3040	84879	0	1500
2024.06.27	15328.3010	15622.8890	15296.0970	15557.3060	84853	0	1520
2024.06.28	15557.2880	15679.3680	15433.2100	15558.5800	84903	0	1540
2024.06.29	15558.5720	15721.6710	15430.9850	15553.2690	84853	0	1540
2024.06.30	15553.2620	15647.0130	15411.0210	15411.0210	84798	0	1540
2024.07.01	15411.0170	15527.3940	15392.0150	15417.2760	84869	0	1530
2024.07.02	15417.2660	15438.9290	15185.5450	15356.3120	84837	0	1510
2024.07.03	15356.2980	15368.3050	14997.6090	15159.2710	84807	0	1490
2024.07.04	15159.2600	15422.6510	15077.2140	15361.2600	84771	0	1500
2024.07.05	15361.2540	15661.9010	15336.0380	15605.4210	84856	0	1530
2024.07.06	15605.4110	15847.3180	15539.6930	15767.0120	84894	0	1550
2024.07.07	15766.9860	15905.0080	15562.0830	15893.7310	84905	0	1550
2024.07.08	15893.7310	16029.6150	15654.1390	15661.5520	84836	0	1560
2024.07.09	15661.5250	15890.3440	15641.2350	15823.8030	84887	0	1560
2024.07.10	15823.7940	15944.1250	15665.1040	15919.1610	84909	0	1560
2024.07.11	15919.1100	15996.3070	15770.3770	15926.8150	84906	0	1570
2024.07.12	15926.8030	16605.9410	15892.1700	16510.9580	84922	0	1580
2024.07.13	16510.9540	16899.4720	16413.9640	16889.1470	84985	0	1640
2024.07.14	16889.1400	16905.5980	16555.2280	16629.6670	84766	0	1650
2024.07.15	16629.6280	16661.7740	16183.3000	16318.7130	84901	0	1610
2024.07.16	16318.7120	16445.4840	16246.6430	16260.9140	84885	0	1620
2024.07.17	16260.8940	16531.3300	16175.2730	16514.5980	84952	0	1610
2024.07.18	16514.5930	16750.9060	16469.8250	16714.1190	84908	0	1640
2024.07.19	16714.0880	16734.4000	16471.4360	16546.0390	84968	0	1640
2024.07.20	16546.0110	16650.2190	16358.5180	16361.5140	85002	0	1630
2024.07.21	16361.5070	16707.7880	16282.1800	16662.9500	84936	0	1620
2024.07.22	16662.9380	16662.9380	16434.8580	16466.4960	84975	0	1640
2024.07.23	16466.4950	16813.3120	16464.4150	16800.1600	84937	0	1640
2024.07.24	16800.1320	16961.5150	16714.5310	16950.1570	84976	0	1670
2024.07.25	16950.1460	17325.9440	16917.1820	17262.5570	84972	0	1690
2024.07.26	17262.5180	17262.5180	17015.0000	17046.7370	84953	0	1700
2024.07.27	17046.7290	17073.3730	16776.3260	16890.5950	85019	0	1670
2024.07.28	16890.5930	16975.7960	16832.8580	16924.7450	85040	0	1680
2024.07.29	16924.7390	16958.4040	16590.6890	16616.9270	84941	0	1650
2024.07.30	16616.9170	16678.2370	16510.7170	16538.0830	84938	0	1650
2024.07.31	16538.0720	16738.3420	16356.3150	16629.4480	84923	0	1630
2024.08.01	16629.4320	16816.7860	16575.5400	16739.7230	84974	0	1650
2024.08.02	16739.6890	16947.1470	16636.1060	16902.9550	84918	0	1660
2024.08.03	16902.9280	16985.4000	16798.7290	16971.4960	84971	0	1680
2024.08.04	16971.4750	17041.8690	16723.1590	16723.1590	84946	0	1670
2024.08.05	16723.1360	16906.6420	16682.1050	16902.7700	83936	0	1660
2024.08.06	16902.7560	17117.9510	16894.4910	17012.3340	84908	0	1680
2024.08.07	17012.3230	17374.0240	16964.9640	17355.8010	85095	0	1690
2024.08.08	17355.7770	17489.1870	17295.9760	17313.6000	84999	0	1720
2024.08.09	17313.5800	17379.1870	17160.4330	17293.8420	84981	0	1710
2024.08.10	17293.8250	17344.8390	16990.0850	16994.5290	85034	0	1690
2024.08.11	16994.5280	17302.9230	16944.8630	17280.8490	85031	0	1690
2024.08.12	17280.8120	17403.7760	17183.0870	17263.7860	85067	0	1710
2024.08.13	17263.7820	17263.7820	16952.3800	17153.3550	84933	0	1690
2024.08.14	17153.3310	17354.1500	17075.1950	17151.3980	85074	0	1700
2024.08.15	17151.3940	17624.4380	17106.0020	17488.2870	85033	0	1710
2024.08.16	17488.2740	17610.6110	17270.1100	17549.6830	85030	0	1720
2024.08.17	17549.6770	17622.1460	17370.2100	17615.0080	85043	0	1730
2024.08.18	17614.9900	17800.4690	17496.2160	17542.4630	84768	0	1740
2024.08.19	17542.4200	17617.4450	17376.3590	17535.2340	85054	0	1730
2024.08.20	17535.2320	17628.7870	17354.4240	17405.7030	85031	0	1730
2024.08.21	17405.6860	17479.2860	17171.1510	17415.1910	85037	0	1710
2024.08.22	17415.1620	17754.9340	17372.2270	17688.1400	84955	0	1730
2024.08.23	17688.1230	18021.1710	17675.5100	17941.9080	84989	0	1760
2024.08.24	17941.8950	18196.0680	17800.7130	17832.3240	85023	0	1780
2024.08.25	17832.2940	17832.2940	17616.0680	17661.9010	85004	0	1760
2024.08.26	17661.9000	17703.5810	17482.5160	17517.7070	84983	0	1740
2024.08.27	17517.6930	17589.3760	17297.4780	17479.4280	85076	0	1730
2024.08.28	17479.4250	17863.4220	17397.8900	17730.5820	84974	0	1730
2024.08.29	17730.5800	18186.7450	17672.9550	18186.0870	84999	0	1760
2024.08.30	18186.0660	18309.9130	18045.3500	18306.9130	85091	0	1800
2024.08.31	18306.8800	18606.1790	18273.8730	18557.4190	85100	0	1820
2024.09.01	18557.4110	18751.4870	18435.4670	18662.1950	85117	0	1840
2024.09.02	18662.1710	18669.3380	18444.6450	18518.5780	85087	0	1840
2024.09.03	18518.5560	18636.6700	18292.1270	18341.8510	85129	0	1820
2024.09.04	18341.8310	18341.8310	18113.5910	18130.3850	85076	0	1810
2024.09.05	18130.3610	18316.1200	18114.4990	18311.0940	85081	0	1810
2024.09.06	18311.0650	18765.1330	18284.7920	18610.3640	85073	0	1820
2024.09.07	18610.3430	18769.5920	18516.7340	18530.9140	85123	0	1850
2024.09.08	18530.8970	18626.6900	18405.1650	18430.4600	85089	0	1840
2024.09.09	18430.4420	18945.6420	18415.7680	18928.7060	85087	0	1840
2024.09.10	18928.6870	19028.7080	18789.8560	18789.8560	85155	0	1870
2024.09.11	18789.8400	19247.4380	18737.4210	19215.7610	85179	0	1870
2024.09.12	19215.7600	19658.9770	19179.9950	19558.7630	85137	0	1910
2024.09.13	19558.7310	19558.7310	19213.6150	19442.2460	85220	0	1920
2024.09.14	19442.2200	19554.1570	19227.0380	19392.8470	85101	0	1920
2024.09.15	19392.7970	19778.6580	19324.3810	19737.9070	84937	0	1930
2024.09.16	19737.8950	19737.8950	19356.8020	19407.0630	85221	0	1930
2024.09.17	19407.0280	19590.3300	19275.5580	19509.1850	85117	0	1920
2024.09.18	19509.1730	19650.7030	19374.0400	19494.7710	85199	0	1930
2024.09.19	19494.7340	19892.9820	19469.4510	19765.2900	85221	0	1940
2024.09.20	19765.2630	20099.7180	19752.2630	19987.0340	85236	0	1970
2024.09.21	19987.0200	20042.4580	19809.3880	19906.8350	85228	0	1980
2024.09.22	19906.8070	19937.4920	19403.5220	19403.5220	85164	0	1940
2024.09.23	19403.4950	19706.1790	19280.4520	19338.0910	85179	0	1920
2024.09.24	19338.0910	19564.7800	19232.9770	19451.4710	85188	0	1920
2024.09.25	19451.4320	19648.5600	19325.1075	19609.1070	81676	0	1930
2024.09.26	19609.0960	20012.4110	19596.8380	19926.3470	85183	0	1950
2024.09.27	19926.3290	20155.7140	19894.9990	19973.1900	85163	0	1980
2024.09.28	19973.1770	19976.4080	19595.9690	19641.7550	85219	0	1950
2024.09.29	19641.7390	19683.3550	19271.3610	19305.0930	85168	0	1920
2024.09.30	19305.0650	19407.1330	19058.1780	19110.7660	85168	0	1900
2024.10.01	19110.7610	19193.4910	18949.9470	19010.6070	85153	0	1890
2024.10.02	19010.5630	19198.9810	18967.2830	19115.9100	85144	0	1890
2024.10.03	19115.8940	19177.9930	18775.2760	18778.4720	85219	0	1870
2024.10.04	18778.4520	18868.8640	18555.7090	18601.2410	85139	0	1850
2024.10.05	18601.2180	18656.8600	18095.9100	18143.1050	85124	0	1800
2024.10.06	18143.0820	18222.1180	18006.5870	18078.4820	85099	0	1800
2024.10.07	18078.4730	18238.1060	17864.3870	18154.4850	85159	0	1780
2024.10.08	18154.4730	18163.5890	17878.2800	17911.2630	85066	0	1780
2024.10.09	17911.2370	18125.3630	17899.8860	18119.0300	85059	0	1790
2024.10.10	18119.0260	18180.2540	17896.9490	18153.8680	85111	0	1780
2024.10.11	18153.8390	18742.4000	18143.7710	18684.0640	85106	0	1810
2024.10.12	18684.0360	18895.1200	18467.3920	18831.1080	85106	0	1840
2024.10.13	18831.0650	18966.1440	18666.5510	18887.3280	84930	0	1860
2024.10.14	18887.3260	19400.7050	18887.0480	19379.5620	85215	0	1880
2024.10.15	19379.5500	19594.1660	19334.2640	19494.9030	85157	0	1930
2024.10.16	19494.8560	19559.4720	19376.6560	19529.3710	85216	0	1930
2024.10.17	19529.3690	19607.1930	19337.7590	19565.6870	85193	0	1930
2024.10.18	19565.6740	19700.4640	19489.2600	19518.2340	85213	0	1940
2024.10.19	19518.2000	19601.0590	19352.6660	19451.0180	85206	0	1930
2024.10.20	19450.9860	19707.0020	19337.0420	19615.1880	85196	0	1930
2024.10.21	19615.1600	19625.2590	19375.8980	19499.1110	85215	0	1930
2024.10.22	19499.0900	19789.8690	19454.3240	19707.7690	85125	0	1940
2024.10.23	19707.7250	19791.7800	19424.8760	19424.8760	85208	0	1940
2024.10.24	19424.8480	19426.0350	19214.3360	19214.3360	85161	0	1920
2024.10.25	19214.3090	19365.2300	19098.3490	19209.2070	85152	0	1900
2024.10.26	19209.2020	19422.4340	19101.6370	19380.1920	85209	0	1910
2024.10.27	19380.1670	19597.8550	19290.4640	19331.8380	85165	0	1920
2024.10.28	19331.8250	19520.0720	19285.6960	19452.4410	85223	0	1920
2024.10.29	19452.4000	19567.9810	19332.5090	19385.4160	85188	0	1930
2024.10.30	19385.4040	19537.4050	19320.5410	19428.5310	85177	0	1930
2024.10.31	19428.5250	19780.4580	19207.8400	19776.8530	85144	0	1920
2024.11.01	19776.8120	20021.0360	19698.6070	19963.6300	85130	0	1970
2024.11.02	19963.6030	20221.3130	19910.3030	20150.8740	85207	0	1990
2024.11.03	20150.8440	20394.4730	20131.7190	20341.1370	85218	0	2010
2024.11.04	20341.1240	20676.6360	20275.5890	20484.0060	85295	0	2020
2024.11.05	20483.9710	20535.8080	20239.9110	20310.8130	85218	0	2020
2024.11.06	20310.8080	20454.1800	20069.4390	20100.2150	85286	0	2000
2024.11.07	20100.1820	20178.8410	19924.1130	20142.7050	85214	0	1990
2024.11.08	20142.6690	20416.5070	20065.9710	20065.9710	85155	0	2000
2024.11.09	20065.9640	20149.7350	19926.2970	20142.7130	85185	0	1990
2024.11.10	20142.7130	20249.9650	19497.5040	19513.2390	85223	0	1940
2024.11.11	19513.2150	19773.9250	19404.5480	19761.2840	85201	0	1940
2024.11.12	19761.2490	20161.0690	19752.1880	20155.1470	85174	0	1970
2024.11.13	20155.1070	20654.7980	20111.9400	20558.2150	85184	0	2010
2024.11.14	20558.2150	20888.0080	20464.9680	20768.1980	85251	0	2040
2024.11.15	20768.1600	20925.3670	20585.7230	20585.7230	85201	0	2050
2024.11.16	20585.7020	20638.0490	20261.4820	20276.6950	85194	0	2020
