<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.03.11	5745.3240	5802.7170	5705.0550	5786.9740	82295	0	570
2024.03.12	5786.9740	5843.5140	5746.7610	5843.5140	82149	0	570
2024.03.13	5843.5200	5889.2050	5787.0620	5866.8820	82052	0	570
2024.03.14	5866.8850	5867.3020	5702.9180	5718.8930	82187	0	570
2024.03.15	5718.8960	5828.7410	5718.8960	5776.0870	82260	0	570
2024.03.16	5776.0870	5915.1820	5743.2160	5901.6850	82253	0	570
2024.03.17	5901.6910	5928.0890	5801.6380	5819.8850	82106	0	580
2024.03.18	5819.8920	5861.4870	5703.7220	5705.2540	82341	0	570
2024.03.19	5705.2660	5721.8200	5616.5020	5700.3530	82176	0	560
2024.03.20	5700.3640	5726.8220	5656.4960	5674.0250	82157	0	560
2024.03.21	5674.0300	5728.0310	5660.5300	5698.3460	82086	0	560
2024.03.22	5698.3510	5704.0360	5624.3980	5626.4840	82206	0	560
2024.03.23	5626.4880	5663.3190	5562.8500	5656.2840	82141	0	550
2024.03.24	5656.2840	5729.7050	5637.7960	5714.9710	82182	0	560
2024.03.25	5714.9780	5728.8800	5597.5490	5606.9600	82132	0	550
2024.03.26	5606.9610	5645.1550	5582.4720	5619.8800	82209	0	550
2024.03.27	5619.8850	5668.1520	5591.5010	5663.4090	82163	0	550
2024.03.28	5663.4150	5672.0110	5579.8220	5600.0530	82097	0	550
2024.03.29	5600.0590	5608.5400	5503.6010	5591.2850	82081	0	550
2024.03.30	5591.2870	5717.8900	5585.2000	5710.8830	82086	0	550
2024.03.31	5710.8850	5824.1410	5702.4670	5820.9170	82315	0	570
2024.04.01	5820.9170	5823.4980	5728.0690	5776.7110	82202	0	570
2024.04.02	5776.7140	5893.0380	5743.9800	5855.3380	82150	0	570
2024.04.03	5855.3440	5879.6630	5722.4000	5772.5310	82241	0	570
2024.04.04	5772.5360	5904.8890	5768.1900	5887.3270	82351	0	570
2024.04.05	5887.3350	5974.7670	5854.0380	5974.7670	82370	0	580
2024.04.06	5974.7760	5987.8700	5834.3510	5846.0810	82254	0	580
2024.04.07	5846.0960	5871.2560	5760.4230	5870.6080	82371	0	570
2024.04.08	5870.6160	5956.2500	5808.6700	5956.2500	82350	0	580
2024.04.09	5956.2510	5970.5210	5848.8850	5883.0700	82268	0	580
2024.04.10	5883.0730	5900.5390	5753.0030	5773.9640	82311	0	570
2024.04.11	5773.9680	5784.4170	5692.3040	5783.1960	82250	0	560
2024.04.12	5783.1970	5807.5840	5689.2290	5705.6860	82191	0	560
2024.04.13	5705.7000	5851.0070	5688.1410	5829.2970	82332	0	560
2024.04.14	5829.2980	5859.4400	5664.4400	5682.3460	82073	0	560
2024.04.15	5682.3510	5694.7560	5611.7980	5636.8260	82216	0	560
2024.04.16	5636.8300	5666.7180	5604.9380	5634.5590	82165	0	560
2024.04.17	5634.5600	5668.2770	5581.3070	5657.3020	82188	0	550
2024.04.18	5657.3140	5793.5990	5653.8080	5765.8690	82215	0	560
2024.04.19	5765.8770	5768.3140	5625.1000	5630.5050	82223	0	560
2024.04.20	5630.5120	5673.0730	5564.7140	5661.9560	82114	0	550
2024.04.21	5661.9610	5681.8440	5589.0550	5611.1370	82162	0	550
2024.04.22	5611.1410	5623.4790	5430.9220	5440.4290	82115	0	540
2024.04.23	5440.4320	5470.9490	5409.2300	5416.3990	81991	0	540
2024.04.24	5416.4080	5470.4330	5363.5760	5420.2560	82030	0	530
2024.04.25	5420.2640	5472.0020	5377.4230	5463.7510	81984	0	530
2024.04.26	5463.7530	5529.7130	5463.7530	5490.1580	82071	0	540
2024.04.27	5490.1640	5516.9890	5455.3730	5510.6680	82074	0	540
2024.04.28	5510.6700	5522.8000	5395.0330	5427.8110	81965	0	530
2024.04.29	5427.8170	5462.2580	5335.0510	5339.5350	82069	0	530
2024.04.30	5339.5400	5443.7240	5315.9730	5423.3380	81917	0	530
2024.05.01	5423.3460	5452.3740	5370.5350	5383.8860	82110	0	530
2024.05.02	5383.8880	5445.7880	5322.1080	5408.5880	81830	0	530
2024.05.03	5408.5980	5516.6070	5354.3330	5512.3320	82007	0	530
2024.05.04	5512.3350	5575.1290	5418.6520	5427.1490	81950	0	540
2024.05.05	5427.1510	5481.9350	5393.3660	5438.9240	81857	0	530
2024.05.06	5438.9360	5452.7390	5399.7320	5421.7400	81972	0	540
2024.05.07	5421.7430	5445.8150	5352.0590	5372.2140	81973	0	530
2024.05.08	5372.2150	5382.5480	5243.3510	5260.6810	81913	0	520
2024.05.09	5260.6830	5296.7910	5225.8360	5241.9180	81777	0	520
2024.05.10	5241.9200	5322.5630	5234.4830	5274.8070	81847	0	520
2024.05.11	5274.8090	5312.1710	5223.6200	5233.1500	81835	0	520
2024.05.12	5233.1570	5242.3110	5178.8910	5230.6940	81832	0	510
2024.05.13	5230.7010	5275.1800	5203.6000	5246.6530	81051	0	520
2024.05.14	5246.6580	5292.6710	5228.7070	5292.6710	81881	0	520
2024.05.15	5292.6800	5358.2720	5292.6800	5324.0470	81918	0	520
2024.05.16	5324.0520	5435.3660	5314.3940	5435.3660	81946	0	530
2024.05.17	5435.3740	5509.9940	5427.0660	5500.0270	81940	0	540
2024.05.18	5500.0320	5511.2900	5408.8780	5435.3390	82008	0	540
2024.05.19	5435.3470	5467.5820	5350.5160	5376.3670	81817	0	530
2024.05.20	5376.3770	5436.9170	5348.6980	5372.1970	81824	0	530
2024.05.21	5372.2000	5444.0110	5365.3150	5394.4310	81960	0	530
2024.05.22	5394.4320	5422.6820	5373.9880	5389.1940	82045	0	530
2024.05.23	5389.1980	5397.6200	5236.7770	5256.8900	81830	0	520
2024.05.24	5256.8970	5323.4200	5254.7430	5308.5140	81898	0	520
2024.05.25	5308.5230	5421.0850	5282.4810	5415.5290	81894	0	520
2024.05.26	5415.5320	5467.5190	5380.5710	5466.1080	81926	0	530
2024.05.27	5466.1150	5469.7760	5404.5670	5461.4310	80935	0	540
2024.05.28	5461.4380	5527.9610	5451.7020	5527.9610	82037	0	540
2024.05.29	5527.9680	5567.8160	5501.3620	5567.7280	82167	0	550
2024.05.30	5567.7290	5629.2340	5549.9990	5629.2340	82135	0	550
2024.05.31	5629.2360	5668.2250	5606.4810	5633.3200	82115	0	560
2024.06.01	5633.3280	5639.9410	5561.1650	5601.4050	81992	0	550
2024.06.02	5601.4110	5662.3700	5594.0430	5604.4370	82105	0	550
2024.06.03	5604.4420	5634.8660	5562.9330	5622.1010	82099	0	550
2024.06.04	5622.1020	5671.7580	5602.6920	5616.5550	82212	0	560
2024.06.05	5616.5600	5665.6970	5552.3510	5582.2670	82154	0	550
2024.06.06	5582.2770	5656.1700	5515.5870	5534.8600	81379	0	550
2024.06.07	5534.8720	5541.5280	5389.0570	5433.0250	82037	0	530
2024.06.08	5433.0340	5499.3750	5415.1630	5475.9940	82069	0	540
2024.06.09	5475.9970	5484.5090	5404.7090	5428.7110	82071	0	540
2024.06.10	5428.7140	5534.5610	5408.4490	5474.6800	82003	0	540
2024.06.11	5474.6900	5545.2920	5447.7830	5528.1270	82141	0	540
2024.06.12	5528.1360	5595.0780	5501.7030	5550.8260	82003	0	550
2024.06.13	5550.8330	5635.5270	5549.7860	5561.2920	82101	0	550
2024.06.14	5561.2980	5633.2840	5528.8860	5568.9340	82078	0	550
2024.06.15	5568.9380	5570.7730	5458.2370	5484.4910	81921	0	540
2024.06.16	5484.5010	5508.8310	5413.8590	5480.9680	81862	0	540
2024.06.17	5480.9710	5565.6970	5480.9710	5508.4240	82020	0	540
2024.06.18	5508.4290	5529.0260	5467.4940	5498.8930	82103	0	540
2024.06.19	5498.8950	5563.3330	5446.8610	5490.2030	82039	0	540
2024.06.20	5490.2070	5513.2890	5411.8960	5502.1680	82043	0	540
2024.06.21	5502.1770	5558.1720	5479.7920	5551.8630	82086	0	540
2024.06.22	5551.8700	5624.1510	5548.6870	5584.7770	82172	0	550
